ID,condition,Ns1,Ns2,acc,M_rt,a,z,v1,v2,t0,converge,-LLE,AIC,BIC,sep,p.acc,p.M_rt,p.a,p.z,p.v1,p.v2,p.t0,p.convergence,p.converge
380897,high_1,40,20,0.9166666666666666,0.5281,1.334139572151904,0.5495339627161188,-4.1338797597538495,0.6554422938586602,0.3017591064291503,0,-34.81410920871967,-59.62821841743934,-49.15649560632884,NA,0.9,0.5213547415445614,1.213623044868215,0.4431581002189237,-4.27237917001808,0.6388674959467532,0.3168176197384065,NA,0
425829,low_0,39,20,1,0.6491186440677966,1.8277539849221247,0.32611217345832694,-3.2997930984037382,1.7804520753387103,0.2903679186573763,0,-18.59705480942823,-27.19410961885646,-16.80642239932786,NA,0.9830508474576272,0.5924409164027038,1.8314275483418054,0.18257387163153843,-3.0922290606495153,2.19860953495054,0.28770523636422507,NA,0
425829,high_0,40,20,0.8666666666666667,0.79945,1.5998268217154341,0.3948435592883918,-2.004173436383452,0.23480005728519088,0.3346463832020081,0,21.783960202610892,53.567920405221784,64.03964321633228,NA,0.8666666666666667,0.6732060382177276,1.4531127088672589,0.27583635911685783,-1.9470730222818493,0.7028560975759459,0.3405050594040483,NA,0
425829,low_1,40,20,0.9833333333333333,0.6887333333333333,1.785065058548184,0.2026247216073765,-2.1815389529674976,2.077139127131624,0.32285140236265325,0,-9.989913914461603,-9.979827828923206,0.4918949821872971,NA,0.9666666666666667,0.5905240243065201,1.864635415289254,0.11445194778219252,-2.5038332406990524,2.545939261177158,0.316993758347891,NA,0
425829,high_1,40,19,0.8813559322033898,0.7807118644067796,1.670691898460952,0.36843469065236295,-2.379413178854553,0.055119540917977244,0.3319011452542259,0,12.339796377537539,34.67959275507508,45.06727997460368,NA,0.8135593220338984,0.712824807324941,1.6862792337358437,0.21023905181089791,-2.352266526956824,0.18675569362845815,0.34711661333657157,NA,0
440557,low_0,40,20,1,0.5040666666666667,1.1655200155786933,0.38092940728410823,-3.0514346881903123,4.128776281597916,0.33774935768951186,0,-59.27444898886062,-108.54889797772124,-98.07717516661074,NA,1,0.4743751806409685,1.2438470791644156,0.19776489848381912,-2.540997203398702,7.138494831333691,0.35030236160314343,NA,0
440557,high_0,40,20,0.7833333333333333,0.6238666666666667,1.0206937904640565,0.5476064156656707,-2.0605814999598233,0.35594222701432104,0.4016919837458939,0,-10.698650671678184,-11.397301343356368,-0.925578532245865,NA,0.8333333333333334,0.6089602302501022,1.0038007056478646,0.5103872515569948,-1.5659908286299187,1.812041907068025,0.40250696798044383,NA,0
440557,low_1,40,20,0.9666666666666667,0.49495,1.2705325984612625,0.3106454520156979,-2.80858330094379,3.6523474851326077,0.31909729902796496,0,-51.8569739093418,-93.7139478186836,-83.2422250075731,NA,1,0.4744409700780547,1.3131720985800963,0.21472265969199886,-2.7710549767713033,5.0327065696169635,0.32291000831389904,NA,0
440557,high_1,40,20,0.7666666666666667,0.56905,1.0721729256450876,0.45857031634979634,-1.7637983225840856,0.42107262415998603,0.33861128002113283,0,-9.121047708007241,-8.242095416014482,2.2296273950960206,NA,0.8166666666666667,0.5945007069605504,1.123192098419202,0.4993801248448872,-2.614301908851842,0.2812869988675263,0.3430623373234548,NA,0
465464,low_0,40,20,1,0.5493,1.3020599610388226,0.36548003125741724,-3.188694060142315,3.8232717834996404,0.3602482216152596,0,-53.824521966234975,-97.64904393246995,-87.177321121359455,NA,1,0.504866340418932,1.2141149468040375,0.2665052270799824,-3.2702011340822983,4.134193654141741,0.35855556340255673,NA,0
465464,high_0,40,20,0.8166666666666667,0.7352333333333333,1.3422191109420947,0.4049613239377286,-1.46469889644621,0.5666631951046606,0.3560778203852092,0,20.23122449275452,50.46244898550904,60.934171796619545,NA,0.8666666666666667,0.6797484346933937,1.3762199776660948,0.2822755779996533,-1.5630257254580506,1.2161272262421585,0.36354017933628024,NA,0
465464,low_1,40,20,0.9666666666666667,0.51435,1.1395012659233286,0.4303155824889098,-3.321350961635101,3.2034676894451763,0.35338699818273556,0,-56.37984211824203,-102.75968423648406,-92.28796142537357,NA,0.9666666666666667,0.551285546146943,1.2425682873275021,0.4004174626057858,-3.524398746824687,1.8593608430167201,0.33940943494897075,NA,0
465464,high_1,40,20,0.9,0.5940166666666666,1.2748135195007717,0.37871090455849177,-2.2528666167535625,1.3937800295585852,0.33407105157464423,0,-15.384854077925096,-20.769708155850193,-10.29798534473969,NA,0.8833333333333333,0.5819798657363756,1.27022869397132,0.2509158662683932,-2.326251749178306,1.2408145257255505,0.35285758255090605,NA,0
